지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
136,안동,2019-04-05 01:00,33
136,안동,2019-04-05 02:00,34
136,안동,2019-04-05 03:00,35
136,안동,2019-04-05 04:00,34
136,안동,2019-04-05 05:00,39
136,안동,2019-04-05 06:00,28
136,안동,2019-04-05 07:00,28
136,안동,2019-04-05 08:00,24
136,안동,2019-04-05 09:00,25
136,안동,2019-04-05 10:00,56
136,안동,2019-04-05 11:00,63
136,안동,2019-04-05 12:00,66
136,안동,2019-04-05 13:00,62
136,안동,2019-04-05 14:00,71
136,안동,2019-04-05 15:00,81
136,안동,2019-04-05 16:00,76
136,안동,2019-04-05 17:00,63
136,안동,2019-04-05 18:00,56
136,안동,2019-04-05 19:00,62
136,안동,2019-04-05 20:00,71
136,안동,2019-04-05 21:00,71
136,안동,2019-04-05 22:00,73
136,안동,2019-04-05 23:00,65
136,안동,2019-04-06 00:00,60
