강화(201),37.70739  126.44634
고산(185),33.29382  126.16283
관악산(116),37.44526  126.96402
구덕산(160),35.11882  128.99995
대구(143),35.87797  128.65296
문경(273),36.62727  128.14879
백령도(102),37.97396  124.71237 
서울(108),37.57142  126.9658 
속초(90),38.25085  128.56473 
수원(119),37.25746  126.983 
안동(136),36.57293  128.70733
연평도(501),37.65891  125.69819
영월(121),37.18126  128.45743 
울릉도독도(115),37.48129  130.89863 
울산(152),35.58237  129.33469
울진(130),36.99176  129.41278 
전주(146),35.84092  127.11718 
진도군(268),34.47296  126.25846 
진주(192),35.16378  128.04004 
추풍령(135),36.22025  127.99458 
흑산도(169),34.68719  125.45105 
