瘤痢,瘤痢疙,老矫,浅加(m/s),浅氢(16规困)
177,全己,2019-04-05 01:00,3.1,200
177,全己,2019-04-05 02:00,4,200
177,全己,2019-04-05 03:00,4.9,230
177,全己,2019-04-05 04:00,5.6,230
177,全己,2019-04-05 05:00,4.3,230
177,全己,2019-04-05 06:00,4.6,230
177,全己,2019-04-05 07:00,3,230
177,全己,2019-04-05 08:00,2.6,200
177,全己,2019-04-05 09:00,2.2,200
177,全己,2019-04-05 10:00,2,200
177,全己,2019-04-05 11:00,3.1,200
177,全己,2019-04-05 12:00,2.4,230
177,全己,2019-04-05 13:00,2.5,250
177,全己,2019-04-05 14:00,3.6,250
177,全己,2019-04-05 15:00,3,200
177,全己,2019-04-05 16:00,3.7,270
177,全己,2019-04-05 17:00,3.5,270
177,全己,2019-04-05 18:00,3.2,250
177,全己,2019-04-05 19:00,2.6,250
177,全己,2019-04-05 20:00,1,250
177,全己,2019-04-05 21:00,1.5,160
177,全己,2019-04-05 22:00,1.2,160
177,全己,2019-04-05 23:00,1.2,180
177,全己,2019-04-06 00:00,1.1,180
