ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Ç³¼Ó(m/s),Ç³Çâ(16¹æÀ§)
260,ÀåÈï,2019-04-05 01:00,.1,0
260,ÀåÈï,2019-04-05 02:00,.5,110
260,ÀåÈï,2019-04-05 03:00,.3,0
260,ÀåÈï,2019-04-05 04:00,.4,0
260,ÀåÈï,2019-04-05 05:00,.2,0
260,ÀåÈï,2019-04-05 06:00,.6,70
260,ÀåÈï,2019-04-05 07:00,0,0
260,ÀåÈï,2019-04-05 08:00,.5,270
260,ÀåÈï,2019-04-05 09:00,.4,0
260,ÀåÈï,2019-04-05 10:00,2.8,270
260,ÀåÈï,2019-04-05 11:00,3.6,270
260,ÀåÈï,2019-04-05 12:00,3.5,290
260,ÀåÈï,2019-04-05 13:00,5.3,270
260,ÀåÈï,2019-04-05 14:00,3.3,270
260,ÀåÈï,2019-04-05 15:00,3.4,290
260,ÀåÈï,2019-04-05 16:00,3.8,290
260,ÀåÈï,2019-04-05 17:00,2.9,270
260,ÀåÈï,2019-04-05 18:00,1.8,290
260,ÀåÈï,2019-04-05 19:00,1.2,320
260,ÀåÈï,2019-04-05 20:00,1.4,340
260,ÀåÈï,2019-04-05 21:00,1.6,320
260,ÀåÈï,2019-04-05 22:00,.7,200
260,ÀåÈï,2019-04-05 23:00,.3,0
260,ÀåÈï,2019-04-06 00:00,.4,0
