지점,지점명,일시,풍속(m/s),풍향(16방위)
278,의성,2019-04-05 01:00,.6,270
278,의성,2019-04-05 02:00,.3,0
278,의성,2019-04-05 03:00,.6,360
278,의성,2019-04-05 04:00,.5,360
278,의성,2019-04-05 05:00,.7,360
278,의성,2019-04-05 06:00,.7,340
278,의성,2019-04-05 07:00,.3,0
278,의성,2019-04-05 08:00,.3,0
278,의성,2019-04-05 09:00,.6,340
278,의성,2019-04-05 10:00,.9,70
278,의성,2019-04-05 11:00,2.6,320
278,의성,2019-04-05 12:00,4.6,290
278,의성,2019-04-05 13:00,5.1,270
278,의성,2019-04-05 14:00,5,270
278,의성,2019-04-05 15:00,5.2,270
278,의성,2019-04-05 16:00,5.2,270
278,의성,2019-04-05 17:00,4.6,270
278,의성,2019-04-05 18:00,4.1,270
278,의성,2019-04-05 19:00,2.1,230
278,의성,2019-04-05 20:00,1.3,340
278,의성,2019-04-05 21:00,1,360
278,의성,2019-04-05 22:00,.4,0
278,의성,2019-04-05 23:00,.1,0
278,의성,2019-04-06 00:00,.5,20
