ม๖มก,ม๖มกธํ,ภฯฝร,วณผำ(m/s),วณวโ(16นๆภง)
175,ม๘ตต(รทย๛ป๊),2019-04-05 01:00,6.7,290
175,ม๘ตต(รทย๛ป๊),2019-04-05 02:00,6.4,290
175,ม๘ตต(รทย๛ป๊),2019-04-05 03:00,6.6,290
175,ม๘ตต(รทย๛ป๊),2019-04-05 04:00,7.1,290
175,ม๘ตต(รทย๛ป๊),2019-04-05 05:00,5.4,290
175,ม๘ตต(รทย๛ป๊),2019-04-05 06:00,5.9,290
175,ม๘ตต(รทย๛ป๊),2019-04-05 07:00,7.3,290
175,ม๘ตต(รทย๛ป๊),2019-04-05 08:00,7.3,290
175,ม๘ตต(รทย๛ป๊),2019-04-05 09:00,5.9,320
175,ม๘ตต(รทย๛ป๊),2019-04-05 10:00,4.6,290
175,ม๘ตต(รทย๛ป๊),2019-04-05 11:00,6.2,320
175,ม๘ตต(รทย๛ป๊),2019-04-05 12:00,7.1,320
175,ม๘ตต(รทย๛ป๊),2019-04-05 13:00,6.9,320
175,ม๘ตต(รทย๛ป๊),2019-04-05 14:00,4.9,320
175,ม๘ตต(รทย๛ป๊),2019-04-05 15:00,4.4,320
175,ม๘ตต(รทย๛ป๊),2019-04-05 16:00,4.1,320
175,ม๘ตต(รทย๛ป๊),2019-04-05 17:00,4,340
175,ม๘ตต(รทย๛ป๊),2019-04-05 18:00,5.3,360
175,ม๘ตต(รทย๛ป๊),2019-04-05 19:00,5.6,360
175,ม๘ตต(รทย๛ป๊),2019-04-05 20:00,7.8,360
175,ม๘ตต(รทย๛ป๊),2019-04-05 21:00,7,360
175,ม๘ตต(รทย๛ป๊),2019-04-05 22:00,4,360
175,ม๘ตต(รทย๛ป๊),2019-04-05 23:00,6.5,360
175,ม๘ตต(รทย๛ป๊),2019-04-06 00:00,5.7,340
