瘤痢,瘤痢疙,老矫,浅加(m/s),浅氢(16规困)
22101,傣利档,2019-04-05 1:00,6.9,230
22101,傣利档,2019-04-05 2:00,9,224
22101,傣利档,2019-04-05 3:00,10.6,235
22101,傣利档,2019-04-05 4:00,8.8,241
22101,傣利档,2019-04-05 5:00,9.1,251
22101,傣利档,2019-04-05 6:00,8.8,260
22101,傣利档,2019-04-05 7:00,3.3,287
22101,傣利档,2019-04-05 8:00,1.5,291
22101,傣利档,2019-04-05 9:00,0.1,337
22101,傣利档,2019-04-05 10:00,0.1,337
22101,傣利档,2019-04-05 11:00,4.8,314
22101,傣利档,2019-04-05 12:00,4.8,314
22101,傣利档,2019-04-05 13:00,5.5,309
22101,傣利档,2019-04-05 14:00,7.2,330
22101,傣利档,2019-04-05 15:00,7.8,325
22101,傣利档,2019-04-05 16:00,7.9,316
22101,傣利档,2019-04-05 17:00,8.4,325
22101,傣利档,2019-04-05 18:00,7.6,328
22101,傣利档,2019-04-05 19:00,6.1,330
22101,傣利档,2019-04-05 20:00,7.2,321
22101,傣利档,2019-04-05 21:00,6.8,334
22101,傣利档,2019-04-05 22:00,5.1,341
22101,傣利档,2019-04-05 23:00,5.3,8
22101,傣利档,2019-04-06 0:00,3.5,4
