ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Ç³¼Ó(m/s),Ç³Çâ(16¹æÀ§)
22102,Ä¥¹ßµµ,2019-04-05 1:00,5.9,186
22102,Ä¥¹ßµµ,2019-04-05 2:00,6.9,189
22102,Ä¥¹ßµµ,2019-04-05 3:00,6,182
22102,Ä¥¹ßµµ,2019-04-05 4:00,6.2,191
22102,Ä¥¹ßµµ,2019-04-05 5:00,4.7,184
22102,Ä¥¹ßµµ,2019-04-05 6:00,4.5,197
22102,Ä¥¹ßµµ,2019-04-05 7:00,5.1,214
22102,Ä¥¹ßµµ,2019-04-05 8:00,5.6,214
22102,Ä¥¹ßµµ,2019-04-05 9:00,4.6,216
22102,Ä¥¹ßµµ,2019-04-05 10:00,4.8,212
22102,Ä¥¹ßµµ,2019-04-05 11:00,4.8,222
22102,Ä¥¹ßµµ,2019-04-05 12:00,3.8,240
22102,Ä¥¹ßµµ,2019-04-05 13:00,4.6,243
22102,Ä¥¹ßµµ,2019-04-05 14:00,4.7,266
22102,Ä¥¹ßµµ,2019-04-05 15:00,4.6,285
22102,Ä¥¹ßµµ,2019-04-05 16:00,4.2,323
22102,Ä¥¹ßµµ,2019-04-05 17:00,3.5,339
22102,Ä¥¹ßµµ,2019-04-05 18:00,4.1,353
22102,Ä¥¹ßµµ,2019-04-05 19:00,4.5,5
22102,Ä¥¹ßµµ,2019-04-05 20:00,4.2,14
22102,Ä¥¹ßµµ,2019-04-05 21:00,4.6,13
22102,Ä¥¹ßµµ,2019-04-05 22:00,3.4,7
22102,Ä¥¹ßµµ,2019-04-05 23:00,1.6,329
22102,Ä¥¹ßµµ,2019-04-06 0:00,1.4,323
