走繊,走繊誤,析獣,燃紗(m/s),燃狽(16号是)
22183,重照,2019-04-05 1:00,4.7,196
22183,重照,2019-04-05 2:00,5.5,203
22183,重照,2019-04-05 3:00,5.4,208
22183,重照,2019-04-05 4:00,4.7,205
22183,重照,2019-04-05 5:00,2.5,182
22183,重照,2019-04-05 6:00,3.5,197
22183,重照,2019-04-05 7:00,4,201
22183,重照,2019-04-05 8:00,4.7,231
22183,重照,2019-04-05 9:00,4.7,230
22183,重照,2019-04-05 10:00,4.1,217
22183,重照,2019-04-05 11:00,4.4,233
22183,重照,2019-04-05 12:00,4.4,235
22183,重照,2019-04-05 13:00,6.7,307
22183,重照,2019-04-05 14:00,4.4,304
22183,重照,2019-04-05 15:00,4.4,304
22183,重照,2019-04-05 16:00,3.5,360
22183,重照,2019-04-05 17:00,3.4,352
22183,重照,2019-04-05 18:00,4.4,1
22183,重照,2019-04-05 19:00,5.4,358
22183,重照,2019-04-05 20:00,2.6,8
22183,重照,2019-04-05 21:00,3.1,4
22183,重照,2019-04-05 22:00,2,19
22183,重照,2019-04-05 23:00,0.9,310
22183,重照,2019-04-06 0:00,1.4,149
