¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,«≥º”(m/s),«≥«‚(16πÊ¿ß)
252,øµ±§±∫,2019-04-05 01:00,3.4,180
252,øµ±§±∫,2019-04-05 02:00,3.9,200
252,øµ±§±∫,2019-04-05 03:00,2.7,180
252,øµ±§±∫,2019-04-05 04:00,1.5,180
252,øµ±§±∫,2019-04-05 05:00,2,180
252,øµ±§±∫,2019-04-05 06:00,2.3,180
252,øµ±§±∫,2019-04-05 07:00,3.1,180
252,øµ±§±∫,2019-04-05 08:00,3,200
252,øµ±§±∫,2019-04-05 09:00,3.2,230
252,øµ±§±∫,2019-04-05 10:00,3.6,250
252,øµ±§±∫,2019-04-05 11:00,2.8,290
252,øµ±§±∫,2019-04-05 12:00,3.3,270
252,øµ±§±∫,2019-04-05 13:00,2.8,270
252,øµ±§±∫,2019-04-05 14:00,2,290
252,øµ±§±∫,2019-04-05 15:00,3.3,250
252,øµ±§±∫,2019-04-05 16:00,2.3,340
252,øµ±§±∫,2019-04-05 17:00,3.2,360
252,øµ±§±∫,2019-04-05 18:00,3.7,360
252,øµ±§±∫,2019-04-05 19:00,.8,360
252,øµ±§±∫,2019-04-05 20:00,.8,70
252,øµ±§±∫,2019-04-05 21:00,.6,70
252,øµ±§±∫,2019-04-05 22:00,.9,50
252,øµ±§±∫,2019-04-05 23:00,.3,0
252,øµ±§±∫,2019-04-06 00:00,0,0
