지점,지점명,일시,풍속(m/s),풍향(16방위)
263,의령군,2019-04-05 01:00,.6,290
263,의령군,2019-04-05 02:00,.1,0
263,의령군,2019-04-05 03:00,.7,270
263,의령군,2019-04-05 04:00,2.2,230
263,의령군,2019-04-05 05:00,2.1,250
263,의령군,2019-04-05 06:00,.1,0
263,의령군,2019-04-05 07:00,1.3,230
263,의령군,2019-04-05 08:00,1.2,250
263,의령군,2019-04-05 09:00,1.8,200
263,의령군,2019-04-05 10:00,2.2,250
263,의령군,2019-04-05 11:00,2.4,180
263,의령군,2019-04-05 12:00,1.9,270
263,의령군,2019-04-05 13:00,3.4,250
263,의령군,2019-04-05 14:00,3.3,270
263,의령군,2019-04-05 15:00,5.3,290
263,의령군,2019-04-05 16:00,5.9,290
263,의령군,2019-04-05 17:00,4.4,270
263,의령군,2019-04-05 18:00,3.4,250
263,의령군,2019-04-05 19:00,1.5,250
263,의령군,2019-04-05 20:00,2.5,270
263,의령군,2019-04-05 21:00,2.8,250
263,의령군,2019-04-05 22:00,5,250
263,의령군,2019-04-05 23:00,1.6,360
263,의령군,2019-04-06 00:00,1.1,360
