지점,지점명,일시,1시간평균 미세먼지농도(㎍/㎥)
501,연평도,2019-04-05 01:00,35
501,연평도,2019-04-05 02:00,44
501,연평도,2019-04-05 03:00,48
501,연평도,2019-04-05 04:00,48
501,연평도,2019-04-05 05:00,47
501,연평도,2019-04-05 06:00,55
501,연평도,2019-04-05 07:00,59
501,연평도,2019-04-05 08:00,62
501,연평도,2019-04-05 09:00,59
501,연평도,2019-04-05 10:00,83
501,연평도,2019-04-05 11:00,142
501,연평도,2019-04-05 12:00,216
501,연평도,2019-04-05 13:00,133
501,연평도,2019-04-05 14:00,92
501,연평도,2019-04-05 15:00,81
501,연평도,2019-04-05 16:00,78
501,연평도,2019-04-05 17:00,81
501,연평도,2019-04-05 18:00,67
501,연평도,2019-04-05 19:00,51
501,연평도,2019-04-05 20:00,44
501,연평도,2019-04-05 21:00,49
501,연평도,2019-04-05 22:00,58
501,연평도,2019-04-05 23:00,62
501,연평도,2019-04-06 00:00,63
