ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Ç³¼Ó(m/s),Ç³Çâ(16¹æÀ§)
104,ºÏ°­¸ª,2019-04-05 01:00,8.6,250
104,ºÏ°­¸ª,2019-04-05 02:00,4,200
104,ºÏ°­¸ª,2019-04-05 03:00,4.5,200
104,ºÏ°­¸ª,2019-04-05 04:00,4.6,200
104,ºÏ°­¸ª,2019-04-05 05:00,2.5,180
104,ºÏ°­¸ª,2019-04-05 06:00,2.2,110
104,ºÏ°­¸ª,2019-04-05 07:00,3.1,140
104,ºÏ°­¸ª,2019-04-05 08:00,2.3,140
104,ºÏ°­¸ª,2019-04-05 09:00,2.3,110
104,ºÏ°­¸ª,2019-04-05 10:00,1.2,140
104,ºÏ°­¸ª,2019-04-05 11:00,2.1,110
104,ºÏ°­¸ª,2019-04-05 12:00,4,20
104,ºÏ°­¸ª,2019-04-05 13:00,7,320
104,ºÏ°­¸ª,2019-04-05 14:00,5.7,290
104,ºÏ°­¸ª,2019-04-05 15:00,3,20
104,ºÏ°­¸ª,2019-04-05 16:00,2.1,360
104,ºÏ°­¸ª,2019-04-05 17:00,1.1,20
104,ºÏ°­¸ª,2019-04-05 18:00,1.3,110
104,ºÏ°­¸ª,2019-04-05 19:00,.3,0
104,ºÏ°­¸ª,2019-04-05 20:00,1,200
104,ºÏ°­¸ª,2019-04-05 21:00,1,200
104,ºÏ°­¸ª,2019-04-05 22:00,.7,180
104,ºÏ°­¸ª,2019-04-05 23:00,1.6,230
104,ºÏ°­¸ª,2019-04-06 00:00,2.5,250
