지점,지점명,일시,풍속(m/s),풍향(16방위)
155,창원,2019-04-05 01:00,.6,110
155,창원,2019-04-05 02:00,.9,230
155,창원,2019-04-05 03:00,1,180
155,창원,2019-04-05 04:00,.7,270
155,창원,2019-04-05 05:00,.5,250
155,창원,2019-04-05 06:00,.6,270
155,창원,2019-04-05 07:00,2.5,230
155,창원,2019-04-05 08:00,1.7,360
155,창원,2019-04-05 09:00,2,110
155,창원,2019-04-05 10:00,2.9,90
155,창원,2019-04-05 11:00,3.2,140
155,창원,2019-04-05 12:00,3.2,110
155,창원,2019-04-05 13:00,4.2,110
155,창원,2019-04-05 14:00,4.7,140
155,창원,2019-04-05 15:00,3.6,140
155,창원,2019-04-05 16:00,2.9,140
155,창원,2019-04-05 17:00,3,160
155,창원,2019-04-05 18:00,1.8,140
155,창원,2019-04-05 19:00,1.8,270
155,창원,2019-04-05 20:00,1.3,270
155,창원,2019-04-05 21:00,1.9,270
155,창원,2019-04-05 22:00,1.2,50
155,창원,2019-04-05 23:00,0,0
155,창원,2019-04-06 00:00,1.5,360
