瘤痢,瘤痢疙,老矫,浅加(m/s),浅氢(16规困)
156,堡林,2019-04-05 01:00,2.3,200
156,堡林,2019-04-05 02:00,1.9,200
156,堡林,2019-04-05 03:00,1.9,200
156,堡林,2019-04-05 04:00,1.1,160
156,堡林,2019-04-05 05:00,1.3,160
156,堡林,2019-04-05 06:00,2.3,200
156,堡林,2019-04-05 07:00,2.1,200
156,堡林,2019-04-05 08:00,1.9,200
156,堡林,2019-04-05 09:00,2.8,200
156,堡林,2019-04-05 10:00,2.7,200
156,堡林,2019-04-05 11:00,2.5,230
156,堡林,2019-04-05 12:00,.5,270
156,堡林,2019-04-05 13:00,2.6,250
156,堡林,2019-04-05 14:00,2.3,250
156,堡林,2019-04-05 15:00,1.6,250
156,堡林,2019-04-05 16:00,2.1,250
156,堡林,2019-04-05 17:00,2.2,270
156,堡林,2019-04-05 18:00,1.9,290
156,堡林,2019-04-05 19:00,2.2,290
156,堡林,2019-04-05 20:00,.7,320
156,堡林,2019-04-05 21:00,.6,340
156,堡林,2019-04-05 22:00,1.5,250
156,堡林,2019-04-05 23:00,1.1,250
156,堡林,2019-04-06 00:00,.6,230
