¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,«≥º”(m/s),«≥«‚(16πÊ¿ß)
253,±Ë«ÿΩ√,2019-04-05 01:00,1,250
253,±Ë«ÿΩ√,2019-04-05 02:00,1,290
253,±Ë«ÿΩ√,2019-04-05 03:00,1.3,320
253,±Ë«ÿΩ√,2019-04-05 04:00,.6,360
253,±Ë«ÿΩ√,2019-04-05 05:00,.4,0
253,±Ë«ÿΩ√,2019-04-05 06:00,1.1,340
253,±Ë«ÿΩ√,2019-04-05 07:00,.8,50
253,±Ë«ÿΩ√,2019-04-05 08:00,.7,270
253,±Ë«ÿΩ√,2019-04-05 09:00,1.5,270
253,±Ë«ÿΩ√,2019-04-05 10:00,1.7,270
253,±Ë«ÿΩ√,2019-04-05 11:00,3.3,290
253,±Ë«ÿΩ√,2019-04-05 12:00,4.6,290
253,±Ë«ÿΩ√,2019-04-05 13:00,3.3,290
253,±Ë«ÿΩ√,2019-04-05 14:00,6.9,290
253,±Ë«ÿΩ√,2019-04-05 15:00,4.7,290
253,±Ë«ÿΩ√,2019-04-05 16:00,5.3,270
253,±Ë«ÿΩ√,2019-04-05 17:00,5.5,290
253,±Ë«ÿΩ√,2019-04-05 18:00,6.2,290
253,±Ë«ÿΩ√,2019-04-05 19:00,5.1,320
253,±Ë«ÿΩ√,2019-04-05 20:00,3,290
253,±Ë«ÿΩ√,2019-04-05 21:00,1.3,320
253,±Ë«ÿΩ√,2019-04-05 22:00,1.5,110
253,±Ë«ÿΩ√,2019-04-05 23:00,1.5,50
253,±Ë«ÿΩ√,2019-04-06 00:00,1,20
