¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,«≥º”(m/s),«≥«‚(16πÊ¿ß)
101,√·√µ,2019-04-05 01:00,2.9,180
101,√·√µ,2019-04-05 02:00,3.4,200
101,√·√µ,2019-04-05 03:00,2.2,180
101,√·√µ,2019-04-05 04:00,1.9,160
101,√·√µ,2019-04-05 05:00,1.9,160
101,√·√µ,2019-04-05 06:00,2.4,160
101,√·√µ,2019-04-05 07:00,3.6,180
101,√·√µ,2019-04-05 08:00,3.2,160
101,√·√µ,2019-04-05 09:00,4.5,180
101,√·√µ,2019-04-05 10:00,3.5,160
101,√·√µ,2019-04-05 11:00,3.1,230
101,√·√µ,2019-04-05 12:00,2.9,230
101,√·√µ,2019-04-05 13:00,3.3,270
101,√·√µ,2019-04-05 14:00,3.2,230
101,√·√µ,2019-04-05 15:00,3.3,270
101,√·√µ,2019-04-05 16:00,3,250
101,√·√µ,2019-04-05 17:00,4.5,230
101,√·√µ,2019-04-05 18:00,3.9,230
101,√·√µ,2019-04-05 19:00,4.6,250
101,√·√µ,2019-04-05 20:00,2.2,270
101,√·√µ,2019-04-05 21:00,.7,70
101,√·√µ,2019-04-05 22:00,.6,50
101,√·√µ,2019-04-05 23:00,.8,110
101,√·√µ,2019-04-06 00:00,1,110
