瘤痢,瘤痢疙,老矫,浅加(m/s),浅氢(16规困)
184,力林,2019-04-05 01:00,4.3,250
184,力林,2019-04-05 02:00,4.8,250
184,力林,2019-04-05 03:00,4.4,250
184,力林,2019-04-05 04:00,4.2,270
184,力林,2019-04-05 05:00,2.7,270
184,力林,2019-04-05 06:00,.5,200
184,力林,2019-04-05 07:00,.9,230
184,力林,2019-04-05 08:00,3,250
184,力林,2019-04-05 09:00,3.7,250
184,力林,2019-04-05 10:00,4.6,250
184,力林,2019-04-05 11:00,5.8,270
184,力林,2019-04-05 12:00,3.8,290
184,力林,2019-04-05 13:00,5.1,270
184,力林,2019-04-05 14:00,5.5,270
184,力林,2019-04-05 15:00,5.8,290
184,力林,2019-04-05 16:00,4.8,270
184,力林,2019-04-05 17:00,4.2,290
184,力林,2019-04-05 18:00,4.5,270
184,力林,2019-04-05 19:00,4.4,270
184,力林,2019-04-05 20:00,3.3,250
184,力林,2019-04-05 21:00,3.3,270
184,力林,2019-04-05 22:00,3.4,250
184,力林,2019-04-05 23:00,3.6,250
184,力林,2019-04-06 00:00,3.2,270
