지점,지점명,일시,풍속(m/s),풍향(16방위)
254,순창군,2019-04-05 01:00,2,290
254,순창군,2019-04-05 02:00,.7,320
254,순창군,2019-04-05 03:00,.3,0
254,순창군,2019-04-05 04:00,.1,0
254,순창군,2019-04-05 05:00,.5,140
254,순창군,2019-04-05 06:00,0,0
254,순창군,2019-04-05 07:00,0,0
254,순창군,2019-04-05 08:00,.8,270
254,순창군,2019-04-05 09:00,.9,160
254,순창군,2019-04-05 10:00,1.1,110
254,순창군,2019-04-05 11:00,4.8,270
254,순창군,2019-04-05 12:00,2.8,270
254,순창군,2019-04-05 13:00,3,270
254,순창군,2019-04-05 14:00,3.4,250
254,순창군,2019-04-05 15:00,3.7,250
254,순창군,2019-04-05 16:00,4.4,320
254,순창군,2019-04-05 17:00,4.1,290
254,순창군,2019-04-05 18:00,3.6,270
254,순창군,2019-04-05 19:00,3.3,270
254,순창군,2019-04-05 20:00,2.2,290
254,순창군,2019-04-05 21:00,.2,0
254,순창군,2019-04-05 22:00,.7,110
254,순창군,2019-04-05 23:00,.7,290
254,순창군,2019-04-06 00:00,1.1,270
